id,created_at,attraction_id,travel_type_id,type_name
637,2024-11-03 17:27:49.11215+00,56820575,71-38706,Khu Dân Cư Nổi Bật
638,2024-11-03 17:27:49.317879+00,142292775,71-38513,Địa Điểm Thờ Phụng Khác
639,2024-11-03 17:27:49.503175+00,58370347,71-38713,Bảo Tàng
640,2024-11-03 17:27:49.713713+00,56019136,71-38512,Tour Ngắm Cảnh Khác
641,2024-11-03 17:27:49.89016+00,56044398,71-38391,Nhà Thờ & Thánh Đường
642,2024-11-03 17:27:50.072945+00,23505927,71-38370,Thác Nước
643,2024-11-03 17:27:50.268676+00,82085,71-38713,Bảo Tàng
644,2024-11-03 17:27:50.466971+00,142260885,71-38376,Hang Động
645,2024-11-03 17:27:50.466971+00,142260885,71-38469,Tour Đi Thuyền
646,2024-11-03 17:27:55.974927+00,136954513,71-38713,Bảo Tàng
647,2024-11-03 17:27:56.175338+00,23027449,71-38630,Kiến Trúc Hiện Đại
648,2024-11-03 17:27:56.362105+00,56820336,71-38385,Thủy Cung
649,2024-11-03 17:27:56.362105+00,56820336,71-38713,Bảo Tàng
650,2024-11-03 17:27:56.547573+00,84707,71-38713,Bảo Tàng
651,2024-11-03 17:27:56.725948+00,136948807,71-38365,Đi Bộ Đường Dài
652,2024-11-03 17:27:56.725948+00,136948807,71-38371,Núi
654,2024-11-03 17:27:57.091782+00,142682929,71-38712,Cung Điện
655,2024-11-03 17:27:57.277933+00,10521721,71-38522,Bãi Biển
656,2024-11-03 17:27:57.277933+00,10521721,71-38636,Đảo/Bán Đảo
657,2024-11-03 17:27:57.473975+00,50683100,71-38575,Di Tích Lịch Sử
658,2024-11-03 17:27:57.662877+00,142409084,71-38379,Công Viên Thành Phố
659,2024-11-03 17:27:57.858464+00,80752,71-38636,Đảo/Bán Đảo
662,2024-11-03 17:27:58.230185+00,137165981,71-38371,Núi
663,2024-11-03 17:27:58.230185+00,137165981,71-38626,Đền Chùa
665,2024-11-03 17:27:58.597619+00,50640614,71-38379,Công Viên Thành Phố
666,2024-11-03 17:27:58.780991+00,141619259,71-38560,Rạp Chiếu Phim
667,2024-11-03 17:27:58.955557+00,137196482,71-38706,Khu Dân Cư Nổi Bật
693,2024-11-03 17:28:33.182532+00,18700019,71-38522,Bãi Biển
694,2024-11-03 17:28:33.182532+00,18700019,71-38636,Đảo/Bán Đảo
695,2024-11-03 17:28:33.39345+00,13758231,71-38391,Nhà Thờ & Thánh Đường
696,2024-11-03 17:28:33.39345+00,13758231,71-38626,Đền Chùa
697,2024-11-03 17:28:33.60007+00,10758425,71-38363,Spa
698,2024-11-03 17:28:33.60007+00,10758425,71-38372,Suối Nước Nóng
699,2024-11-03 17:28:33.796559+00,142360211,71-38380,Vườn/Hoa Viên
700,2024-11-03 17:28:33.991306+00,55861396,71-38363,Spa
702,2024-11-03 17:28:34.38408+00,129757349,71-38403,Cáp Treo
703,2024-11-03 17:28:34.583841+00,133828439,71-38371,Núi
704,2024-11-03 17:28:34.583841+00,133828439,71-38379,Công Viên Thành Phố
706,2024-11-03 17:28:35.00446+00,55860843,71-38631,Đài Quan Sát
707,2024-11-03 17:28:35.00446+00,55860843,71-38660,Tham quan ban đêm
708,2024-11-03 17:28:35.206304+00,142505412,71-38379,Công Viên Thành Phố
710,2024-11-03 17:28:35.607199+00,141698250,71-38378,Công Viên Giải Trí
